id,occupancy_date,week_no,organization_name,shelter_name,shelter_city,facility_name,sector,occupancy,capacity
57,01/01/2017,1,Homes First Society,HFS - Scarborough Shelter,Scarborough,HFS - Scarborough Shelter,Co-ed,67,67
58,01/01/2017,1,Homes First Society,HFS - Strachan House,Toronto,HFS - Strachan House,Co-ed,4,5
59,01/01/2017,1,Homes First Society,HFS - Strachan House,Toronto,HFS - Strachan House,Co-ed,82,83
60,01/01/2017,1,Horizon for Youth,Horizons for Youth,Toronto,Horizons for Youth,Youth,42,45
61,01/01/2017,1,Kennedy House Youth Services,Kennedy House Youth shelter,Toronto,Kennedy House Youth Shelter,Youth,33,33
62,01/01/2017,1,Na-Me-Res (Native Men's Residence),Na-Me-Res,Toronto,Na-Me-Res 14 Vaughan Road,Men,71,71
64,01/01/2017,1,Na-Me-Res (Native Men's Residence),Na-Me-Res,Toronto,Sagatay 26 Vaughan Road,Men,19,20
65,01/01/2017,1,Native Child & Family Services Toronto,Eagles Nest Transition House,Toronto,Eagle's Nest Transistion House,Youth,11,12
66,01/01/2017,1,Second Base (Scarborough) Youth Shelter,Second Base Youth Shelter,Scarborough,Second Base Youth Shelter,Youth,0,0
67,01/01/2017,1,Second Base (Scarborough) Youth Shelter,Second Base Youth Shelter,Scarborough,Second Base Youth Shelter,Youth,0,0
68,01/01/2017,1,Society of St.Vincent De Paul,SVDP - Amelie House,Toronto,SVDP - Amelie House,Women,19,20
69,01/01/2017,1,Society of St.Vincent De Paul,SVDP - Elisa House,Toronto,SVDP - Elisa House,Women,40,40
70,01/01/2017,1,Society of St.Vincent De Paul,SVDP - Mary's Home,Toronto,SVDP - Mary's Home,Women,6,6
71,01/01/2017,1,Society of St.Vincent De Paul,SVDP - Mary's Home,Toronto,SVDP - Mary's Home,Women,38,38
72,01/01/2017,1,Society of St.Vincent De Paul,SVDP - St. Clare's Residence,Toronto,SVDP - St. Clare's Residence,Women,30,30
73,01/01/2017,1,St. Simon's Shelter Inc.,St. Simon's Shelter,Toronto,St.Simon's 525 Bloor Street East,Men,5,5
74,01/01/2017,1,St. Simon's Shelter Inc.,St. Simon's Shelter,Toronto,St.Simon's 525 Bloor Street East,Men,57,57
75,01/01/2017,1,Street Haven At The Crossroads,Street Haven,Toronto,Street Haven - 87 Pembroke St,Women,46,46
76,01/01/2017,1,Street Haven At The Crossroads,Street Haven,Toronto,Street Haven - 87 Pembroke St,Women,3,4
77,01/01/2017,1,The MUC Shelter Corporation,Sojourn House,Toronto,Sojourn House,Families,87,76
